PLAYER_NAME,PLAYER_ID,TEAM_NAME_x,LOCATION,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB_x,REB,AST,TOV,STL_x,BLK_x,BLKA,PF,PFD,PTS,PLUS_MINUS,Efficiency,Season Type,GP_x,W_x,L_x,Logo_URL,DISPLAY_FIRST_LAST_x,TEAM_ID,TEAM_ABBREVIATION,HEADSHOT_URL,DISPLAY_FIRST_LAST_y,POSITION,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT,MIN_y,DEF_RATING,DREB_y,DREB_PCT,STL_y,BLK_y,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Conference,W_rate
D.J. Carton,1630618,Toronto Raptors,AWAY,12.5,0,2,0,0,1,0,1,2,0.5,1,1,2,0,0,1,0,0,0,1,1,-18,1,Regular Season,82,25,57,https://loodibee.com/wp-content/uploads/nba-toronto-raptors-logo-2020.png,D.J. Carton,1610612761,TOR,https://cdn.nba.com/headshots/nba/latest/1040x760/1630618.png,D.J. Carton,Guard,Toronto Raptors,82,25,57,0.305,3961,118.1,2607,0.694,634,388,1412,1282,1188,4456,1,25,25,25,10,26,26,29,10,19,23,29,18,26,East,30.48780488
DaQuan Jeffries,1629610,New York Knicks,AWAY,2.96,0.44,1,0.33,0.22,0.78,0.22,0,0,0,0,0.44,0.44,0.56,0.33,0,0.11,0,0,0,1.11,0.89,1.33,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-new-york-knicks-logo.png,DaQuan Jeffries,1610612752,NYK,https://cdn.nba.com/headshots/nba/latest/1040x760/1629610.png,DaQuan Jeffries,Guard-Forward,New York Knicks,82,50,32,0.61,3946,112.4,2665,0.729,612,336,1222,1008,1133,3848,1,6,6,6,23,9,21,6,17,29,5,3,13,6,East,60.97560976
Daishen Nix,1630227,Minnesota Timberwolves,AWAY,3.73,0.75,2,0.34,0.5,1.5,0.26,0.12,0.25,0.06,0,0.12,0.12,0.25,0.25,0.25,0,0.25,0.12,0.12,2.12,2.88,1.12,Regular Season,82,56,26,https://loodibee.com/wp-content/uploads/nba-minnesota-timberwolves-logo.png,Daishen Nix,1610612750,MIN,https://cdn.nba.com/headshots/nba/latest/1040x760/1630227.png,Daishen Nix,Guard,Minnesota Timberwolves,82,56,26,0.683,3961,108.4,2807,0.725,647,497,1337,1042,1086,3782,1,4,4,4,10,1,5,9,6,5,15,4,6,2,West,68.29268293
Dalano Banton,1630625,Boston Celtics,AWAY,7.19,0.86,2.21,0.26,0,0.57,0,0.64,0.71,0.21,0.57,1.14,1.71,0.86,0.36,0.21,0.07,0.14,1.07,0.57,2.36,1.93,3.43,Regular Season,82,64,18,https://loodibee.com/wp-content/uploads/nba-boston-celtics-logo.png,Dalano Banton,1610612757,POR,https://cdn.nba.com/headshots/nba/latest/1040x760/1630625.png,Dalano Banton,Forward,Portland Trail Blazers,82,21,61,0.256,3976,116.6,2469,0.697,627,354,1564,1163,1391,4388,1,27,27,27,2,23,30,28,12,27,28,22,29,24,East,78.04878049
Dalen Terry,1631207,Chicago Bulls,AWAY,11.53,1.33,2.73,0.39,0.33,1.33,0.19,0.4,0.73,0.16,0.47,1.67,2.13,1.53,0.37,0.53,0.2,0.07,1.27,0.6,3.4,2.2,5.7,Regular Season,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,Dalen Terry,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1631207.png,Dalen Terry,Forward,Chicago Bulls,82,39,43,0.476,3996,115.7,2677,0.717,638,394,1249,1133,1088,3726,1,20,20,20,1,22,19,17,9,18,8,15,7,1,East,47.56097561
Damian Jones,1627745,Cleveland Cavaliers,AWAY,7.81,1.11,2.16,0.42,0.11,0.42,0.05,0.63,0.74,0.29,0.53,1.16,1.68,0.32,0.42,0.21,0.47,0.11,1,0.63,2.95,-4.37,4.05,Regular Season,82,48,34,https://loodibee.com/wp-content/uploads/cleveland-cavaliers-2010-2017.png,Damian Jones,1610612739,CLE,https://cdn.nba.com/headshots/nba/latest/1040x760/1627745.png,Damian Jones,Center,Cleveland Cavaliers,82,48,34,0.585,3961,112.1,2742,0.721,605,380,1424,1055,1176,3816,1,11,11,11,10,7,11,14,19,21,24,6,15,4,East,58.53658537
Damian Lillard,203081,Milwaukee Bucks,AWAY,35.56,7.47,17.76,0.42,3.21,8.88,0.36,6.32,6.88,0.89,0.62,3.41,4.03,6.38,2.94,1.09,0.29,1.29,2.12,5.09,24.47,4.5,22.47,Regular Season,82,49,33,https://loodibee.com/wp-content/uploads/nba-milwaukee-bucks-logo.png,Damian Lillard,1610612749,MIL,https://cdn.nba.com/headshots/nba/latest/1040x760/203081.png,Damian Lillard,Guard,Milwaukee Bucks,82,49,33,0.598,3961,115,2850,0.731,558,413,1227,1121,1118,4182,1,8,8,8,10,19,3,4,26,15,6,12,10,19,East,59.75609756
Daniel Gafford,1629655,Dallas Mavericks,AWAY,20.8,3.83,5.33,0.64,0,0,0,0.92,1.92,0.23,1.92,5,6.92,1.67,1.17,0.75,2.25,0.42,2.33,1.75,8.58,-2.67,16.5,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png,Daniel Gafford,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1629655.png,Daniel Gafford,Forward-Center,Dallas Mavericks,82,50,32,0.61,3941,114.9,2724,0.711,563,406,1240,1170,1291,4186,1,6,6,6,26,18,14,21,24,17,7,24,26,20,West,60.97560976
Daniel Theis,1628464,Indiana Pacers,AWAY,8.43,1,4,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,-1,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo.png,Daniel Theis,1610612746,LAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1628464.png,Daniel Theis,Forward-Center,LA Clippers,82,51,31,0.622,3941,114.6,2701,0.705,640,413,1284,1152,1221,4074,1,5,5,5,26,16,17,24,7,15,11,20,21,14,East,57.31707317
Danilo Gallinari,201568,Detroit Pistons,AWAY,12.9,2,2.5,0.88,1,1,1,3.5,4,0.83,0,2,2,2.5,0,0,0,0,1,1.5,8.5,14,12,Regular Season,82,14,68,https://loodibee.com/wp-content/uploads/nba-detroit-pistons-logo.png,Danilo Gallinari,1610612749,MIL,https://cdn.nba.com/headshots/nba/latest/1040x760/201568.png,Danilo Gallinari,Forward,Milwaukee Bucks,82,49,33,0.598,3961,115,2850,0.731,558,413,1227,1121,1118,4182,1,8,8,8,10,19,3,4,26,15,6,12,10,19,East,17.07317073
Dante Exum,203957,Dallas Mavericks,AWAY,20.36,3.3,5.65,0.52,1.26,2.22,0.38,0.87,1.04,0.4,0.22,2.22,2.43,2.65,0.7,0.43,0.09,0.22,1.43,1.43,8.74,6.7,11.13,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png,Dante Exum,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/203957.png,Dante Exum,Guard,Dallas Mavericks,82,50,32,0.61,3941,114.9,2724,0.711,563,406,1240,1170,1291,4186,1,6,6,6,26,18,14,21,24,17,7,24,26,20,West,60.97560976
Dario Saric,203967,Golden State Warriors,AWAY,17.84,3,6.17,0.43,1.23,2.91,0.35,1.4,1.74,0.51,1.37,3.2,4.57,2.14,1.17,0.49,0.17,0.37,1.74,1.54,8.63,-0.03,11.31,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-golden-state-warriors-logo.png,Dario Saric,1610612744,GSW,https://cdn.nba.com/headshots/nba/latest/1040x760/203967.png,Dario Saric,Forward-Center,Golden State Warriors,82,46,36,0.561,3966,114.5,2834,0.725,572,377,1411,1100,1220,4074,1,16,16,16,7,15,4,10,23,23,22,9,20,14,West,56.09756098
Dariq Whitehead,1641727,Brooklyn Nets,AWAY,2.58,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,1,0,0,1,1,-6,1,Regular Season,82,32,50,https://loodibee.com/wp-content/uploads/nba-brooklyn-nets-logo.png,Dariq Whitehead,1610612751,BKN,https://cdn.nba.com/headshots/nba/latest/1040x760/1641727.png,Dariq Whitehead,Forward,Brooklyn Nets,82,32,50,0.39,3961,115.4,2675,0.715,556,424,1263,1146,1281,3962,1,22,22,22,10,20,20,19,28,12,9,17,25,11,East,39.02439024
Darius Bazley,1629647,Philadelphia 76ers,HOME,3.26,0,0.33,0,0,0,0,0,0,0,0,0.33,0.33,0.67,0.33,0,0,0.33,0,0,0,-0.33,0.33,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-philadelphia-76ers-logo.png,Darius Bazley,1610612762,UTA,https://cdn.nba.com/headshots/nba/latest/1040x760/1629647.png,Darius Bazley,Forward,Utah Jazz,82,31,51,0.378,3961,119.6,2725,0.717,537,458,1583,1178,1512,4248,1,23,23,23,10,30,12,18,29,9,29,25,30,22,East,57.31707317
Darius Garland,1629636,Cleveland Cavaliers,AWAY,32.74,6.28,14.1,0.44,2.48,6.31,0.36,2.45,3,0.66,0.52,1.9,2.41,6.17,2.72,1.14,0,1.03,1.86,2.66,17.48,1.62,16.1,Regular Season,82,48,34,https://loodibee.com/wp-content/uploads/cleveland-cavaliers-2010-2017.png,Darius Garland,1610612739,CLE,https://cdn.nba.com/headshots/nba/latest/1040x760/1629636.png,Darius Garland,Guard,Cleveland Cavaliers,82,48,34,0.585,3961,112.1,2742,0.721,605,380,1424,1055,1176,3816,1,11,11,11,10,7,11,14,19,21,24,6,15,4,East,58.53658537
David Duke Jr.,1630561,San Antonio Spurs,AWAY,13.2,1.5,4.5,0.62,0,1,0,1,1,0.5,0.5,3,3.5,2,0.5,0.5,0,0,1,1.5,4,-2,6.5,Regular Season,82,22,60,https://loodibee.com/wp-content/uploads/san-antonio-spurs-2002-2017.png,David Duke Jr.,1610612759,SAS,https://cdn.nba.com/headshots/nba/latest/1040x760/1630561.png,David Duke Jr.,Guard,San Antonio Spurs,82,22,60,0.268,3966,115.6,2778,0.721,584,520,1526,1167,1187,4490,1,26,26,26,7,21,8,13,22,3,27,23,17,28,West,26.82926829
David Roddy,1631223,Memphis Grizzlies,AWAY,22.12,2.79,7.29,0.33,1.04,3.21,0.28,1,1.5,0.33,1.08,2.88,3.96,1.58,1.29,0.67,0.17,0.67,1.29,1.08,7.62,-3.08,7.71,Regular Season,82,27,55,https://loodibee.com/wp-content/uploads/nba-memphis-grizzlies-logo.png,David Roddy,1610612756,PHX,https://cdn.nba.com/headshots/nba/latest/1040x760/1631223.png,David Roddy,Forward,Phoenix Suns,82,49,33,0.598,3956,113.7,2783,0.714,610,492,1491,1150,1179,4074,1,8,8,8,17,13,7,20,18,6,25,19,16,14,West,32.92682927
Davion Mitchell,1630558,Sacramento Kings,AWAY,16.44,2,4.61,0.37,0.84,2.5,0.25,0.5,0.63,0.23,0.21,1.05,1.26,2.08,0.74,0.32,0.05,0.16,1.16,0.87,5.34,0.08,5.58,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo.png,Davion Mitchell,1610612758,SAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1630558.png,Davion Mitchell,Guard,Sacramento Kings,82,46,36,0.561,3971,114.4,2719,0.744,625,342,1349,891,962,4006,1,16,16,16,3,14,15,1,13,28,17,1,2,13,West,56.09756098
Davis Bertans,202722,Charlotte Hornets,AWAY,20.94,3.44,8.44,0.43,2.94,7.31,0.43,0.5,0.5,0.19,0.19,1.75,1.94,0.62,0.62,0.75,0.38,0.31,1.62,0.69,10.31,-2.56,8.38,Regular Season,82,21,61,https://loodibee.com/wp-content/uploads/nba-charlotte-hornets-logo.png,Davis Bertans,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/202722.png,Davis Bertans,Forward,Charlotte Hornets,82,21,61,0.256,3946,119.2,2538,0.709,562,371,1401,1160,1128,4308,1,27,27,27,23,29,29,22,25,25,20,21,12,23,East,25.6097561
Day'Ron Sharpe,1630549,Brooklyn Nets,AWAY,13.54,2.41,4.5,0.53,0.03,0.22,0.03,1.22,2,0.38,2.88,3.25,6.12,1.25,1.22,0.47,0.78,0.53,1.91,1.59,6.06,0.31,10.59,Regular Season,82,32,50,https://loodibee.com/wp-content/uploads/nba-brooklyn-nets-logo.png,Day'Ron Sharpe,1610612751,BKN,https://cdn.nba.com/headshots/nba/latest/1040x760/1630549.png,Day'Ron Sharpe,Center,Brooklyn Nets,82,32,50,0.39,3961,115.4,2675,0.715,556,424,1263,1146,1281,3962,1,22,22,22,10,20,20,19,28,12,9,17,25,11,East,39.02439024
De'Aaron Fox,1628368,Sacramento Kings,AWAY,36.64,9.62,21.11,0.46,3.16,8.54,0.36,4.14,5.73,0.65,1.05,4.05,5.11,5.22,2.68,2.05,0.49,0.78,2.68,4.51,26.54,0.46,23.65,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo.png,De'Aaron Fox,1610612758,SAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1628368.png,De'Aaron Fox,Guard,Sacramento Kings,82,46,36,0.561,3971,114.4,2719,0.744,625,342,1349,891,962,4006,1,16,16,16,3,14,15,1,13,28,17,1,2,13,West,56.09756098
De'Andre Hunter,1629631,Atlanta Hawks,AWAY,27.88,4.85,10.74,0.44,1.85,4.67,0.41,3.37,3.81,0.69,0.44,3.15,3.59,1.33,1.52,0.74,0.19,0.48,2.41,3.59,14.93,-1.89,12.93,Regular Season,82,36,46,https://loodibee.com/wp-content/uploads/nba-atlanta-hawks-logo.png,De'Andre Hunter,1610612737,ATL,https://cdn.nba.com/headshots/nba/latest/1040x760/1629631.png,De'Andre Hunter,Forward-Guard,Atlanta Hawks,82,36,46,0.439,3971,118.4,2639,0.717,615,369,1367,1121,1363,4402,1,21,21,21,3,27,22,16,16,26,18,12,28,25,East,43.90243902
De'Anthony Melton,1629001,Philadelphia 76ers,AWAY,26.48,3.83,9.17,0.42,2,5.22,0.37,1.94,2.06,0.62,0.67,2.78,3.44,3.06,0.89,1.83,0.22,0.56,1.83,1.5,11.61,7.11,13.83,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-philadelphia-76ers-logo.png,De'Anthony Melton,1610612755,PHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1629001.png,De'Anthony Melton,Guard,Philadelphia 76ers,82,47,35,0.573,3956,113,2616,0.701,694,492,1177,1117,1262,4106,1,12,12,12,17,11,23,25,1,6,2,11,24,17,East,57.31707317
DeAndre Jordan,201599,Denver Nuggets,AWAY,12.43,2,3.15,0.6,0,0,0,0.69,1.77,0.16,1.62,3.31,4.92,0.77,0.85,0.15,0.54,0.23,1.85,1.62,4.69,-1.54,8,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-denver-nuggets-logo-2018.png,DeAndre Jordan,1610612743,DEN,https://cdn.nba.com/headshots/nba/latest/1040x760/201599.png,DeAndre Jordan,Center,Denver Nuggets,82,57,25,0.695,3941,112.3,2762,0.718,585,456,1301,1086,1109,4128,1,2,2,2,26,8,9,15,21,10,14,8,8,18,West,69.51219512
DeMar DeRozan,201942,Chicago Bulls,AWAY,36.82,7.79,15.95,0.49,0.98,2.86,0.27,6.65,7.53,0.91,0.42,3.56,3.98,5.49,1.74,1.12,0.56,0.84,1.98,5.23,23.21,-1.91,23.56,Regular Season,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,DeMar DeRozan,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png,DeMar DeRozan,Guard-Forward,Chicago Bulls,82,39,43,0.476,3996,115.7,2677,0.717,638,394,1249,1133,1088,3726,1,20,20,20,1,22,19,17,9,18,8,15,7,1,East,47.56097561
Dean Wade,1629731,Cleveland Cavaliers,AWAY,20.06,1.86,4.39,0.37,1.39,3.71,0.32,0.43,0.57,0.2,0.71,2.89,3.61,0.61,0.39,0.68,0.57,0.07,1.46,0.79,5.54,2.57,7.93,Regular Season,82,48,34,https://loodibee.com/wp-content/uploads/cleveland-cavaliers-2010-2017.png,Dean Wade,1610612739,CLE,https://cdn.nba.com/headshots/nba/latest/1040x760/1629731.png,Dean Wade,Forward-Center,Cleveland Cavaliers,82,48,34,0.585,3961,112.1,2742,0.721,605,380,1424,1055,1176,3816,1,11,11,11,10,7,11,14,19,21,24,6,15,4,East,58.53658537
Deandre Ayton,1629028,Portland Trail Blazers,AWAY,34.54,7.71,13.57,0.55,0.05,0.19,0.05,1.33,1.57,0.48,3.81,8.29,12.1,1.62,2.1,1.1,0.9,0.86,2.19,1.52,16.81,-3.48,24.33,Regular Season,82,21,61,https://loodibee.com/wp-content/uploads/nba-portland-trail-blazers-logo.png,Deandre Ayton,1610612757,POR,https://cdn.nba.com/headshots/nba/latest/1040x760/1629028.png,Deandre Ayton,Center,Portland Trail Blazers,82,21,61,0.256,3976,116.6,2469,0.697,627,354,1564,1163,1391,4388,1,27,27,27,2,23,30,28,12,27,28,22,29,24,West,25.6097561
Dejounte Murray,1627749,Atlanta Hawks,AWAY,34.53,8.62,17.89,0.48,2.49,6.59,0.37,2.73,3.43,0.74,0.81,4.57,5.38,5.78,2.49,1.27,0.35,0.89,1.51,2.32,22.46,-4.86,22.78,Regular Season,82,36,46,https://loodibee.com/wp-content/uploads/nba-atlanta-hawks-logo.png,Dejounte Murray,1610612737,ATL,https://cdn.nba.com/headshots/nba/latest/1040x760/1627749.png,Dejounte Murray,Guard,Atlanta Hawks,82,36,46,0.439,3971,118.4,2639,0.717,615,369,1367,1121,1363,4402,1,21,21,21,3,27,22,16,16,26,18,12,28,25,East,43.90243902
Delon Wright,1626153,Miami Heat,AWAY,22.2,2.33,5,0.48,0.83,1.83,0.31,1.17,1.33,0.31,0.5,1.33,1.83,2.83,0.17,1.5,0.17,0,0.67,1.5,6.67,7.83,10,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-miami-heat-logo.png,Delon Wright,1610612748,MIA,https://cdn.nba.com/headshots/nba/latest/1040x760/1626153.png,Delon Wright,Guard,Miami Heat,82,46,36,0.561,3951,111.5,2702,0.734,617,280,1298,1084,1066,3802,1,16,16,16,21,5,16,3,15,30,13,7,5,3,East,56.09756098
Deni Avdija,1630166,Washington Wizards,AWAY,28.86,4.59,9.88,0.45,0.91,2.75,0.27,2.78,3.69,0.7,0.88,5.66,6.53,3.84,1.78,0.72,0.56,0.81,2.22,3.31,12.88,-4.25,16.56,Regular Season,82,15,67,https://loodibee.com/wp-content/uploads/nba-washington-wizards-logo.png,Deni Avdija,1610612764,WAS,https://cdn.nba.com/headshots/nba/latest/1040x760/1630166.png,Deni Avdija,Forward,Washington Wizards,82,15,67,0.183,3946,118.9,2613,0.683,623,415,1401,1345,1239,4788,1,29,29,29,23,28,24,30,14,14,20,30,23,29,East,18.29268293
Xavier Tillman Sr.,203471,Brooklyn Nets,AWAY,32.25,4.73,13.13,0.35,1.73,5.07,0.34,1.6,1.93,0.56,0.67,3,3.67,6.13,1.87,0.53,0.4,1.07,2.27,2.13,12.8,-5.73,12.93,Regular Season,82,32,50,https://loodibee.com/wp-content/uploads/nba-brooklyn-nets-logo.png,Dennis Schroder,1610612751,BKN,https://cdn.nba.com/headshots/nba/latest/1040x760/203471.png,Dennis Schroder,Guard,Brooklyn Nets,82,32,50,0.39,3961,115.4,2675,0.715,556,424,1263,1146,1281,3962,1,22,22,22,10,20,20,19,28,12,9,17,25,11,East,39.02439024
Dennis Smith Jr.,1628372,Brooklyn Nets,AWAY,17.48,2.35,5.35,0.42,0.7,1.83,0.24,0.83,1.04,0.31,0.91,2.26,3.17,2.96,1.26,0.78,0.3,0.39,1.96,0.87,6.22,-1.48,8.96,Regular Season,82,32,50,https://loodibee.com/wp-content/uploads/nba-brooklyn-nets-logo.png,Dennis Smith Jr.,1610612751,BKN,https://cdn.nba.com/headshots/nba/latest/1040x760/1628372.png,Dennis Smith Jr.,Guard,Brooklyn Nets,82,32,50,0.39,3961,115.4,2675,0.715,556,424,1263,1146,1281,3962,1,22,22,22,10,20,20,19,28,12,9,17,25,11,East,39.02439024
Dereck Lively II,1641726,Dallas Mavericks,AWAY,23.25,3.59,4.89,0.67,0,0.04,0,0.93,1.59,0.3,2.52,4.3,6.81,0.93,0.93,0.78,1.56,0.33,2.96,1.44,8.11,4.26,15.3,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png,Dereck Lively II,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1641726.png,Dereck Lively II,Center,Dallas Mavericks,82,50,32,0.61,3941,114.9,2724,0.711,563,406,1240,1170,1291,4186,1,6,6,6,26,18,14,21,24,17,7,24,26,20,West,60.97560976
Dereon Seabron,1631220,New Orleans Pelicans,AWAY,8.49,0.75,2.5,0.11,0.25,0.5,0.12,0.5,0.5,0.25,0.25,0.75,1,0.5,0,0.5,0,0.25,0.25,0.5,2.25,-0.75,2.5,Regular Season,82,49,33,https://loodibee.com/wp-content/uploads/nba-new-orleans-pelicans-logo.png,Dereon Seabron,1610612740,NOP,https://cdn.nba.com/headshots/nba/latest/1040x760/1631220.png,Dereon Seabron,Guard,New Orleans Pelicans,82,49,33,0.598,3941,111.9,2753,0.725,684,378,1280,1053,1117,3824,1,8,8,8,26,6,10,8,3,22,10,5,9,5,West,59.75609756
Derrick Jones Jr.,1627884,Dallas Mavericks,AWAY,23.29,3.06,6.2,0.5,1.17,2.97,0.27,1.2,1.74,0.41,0.91,2.11,3.03,0.91,1.03,0.74,0.63,0.29,1.51,1.49,8.49,-1.03,9.09,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png,Derrick Jones Jr.,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1627884.png,Derrick Jones Jr.,Forward,Dallas Mavericks,82,50,32,0.61,3941,114.9,2724,0.711,563,406,1240,1170,1291,4186,1,6,6,6,26,18,14,21,24,17,7,24,26,20,West,60.97560976
Derrick Rose,201565,Memphis Grizzlies,AWAY,17.95,3.55,7.27,0.49,0.64,1.64,0.34,1.27,1.45,0.48,0.27,1.91,2.18,3.18,1.64,0.36,0.09,0.73,1.09,1.36,9,-1.18,9.27,Regular Season,82,27,55,https://loodibee.com/wp-content/uploads/nba-memphis-grizzlies-logo.png,Derrick Rose,1610612763,MEM,https://cdn.nba.com/headshots/nba/latest/1040x760/201565.png,Derrick Rose,Guard,Memphis Grizzlies,82,27,55,0.329,3956,113.7,2598,0.706,673,501,1514,1146,1236,3948,1,24,24,24,17,12,27,23,4,4,26,17,22,10,West,32.92682927
Derrick White,1628401,Boston Celtics,AWAY,32.88,5.47,11.91,0.45,2.96,7.07,0.39,2.11,2.33,0.62,0.76,3.56,4.31,4.84,1.62,0.96,1.29,0.42,2.13,2.36,16,8.84,19.11,Regular Season,82,64,18,https://loodibee.com/wp-content/uploads/nba-boston-celtics-logo.png,Derrick White,1610612738,BOS,https://cdn.nba.com/headshots/nba/latest/1040x760/1628401.png,Derrick White,Guard,Boston Celtics,82,64,18,0.78,3966,110.6,2923,0.726,557,538,1093,1114,1063,3912,1,1,1,1,7,2,1,7,27,1,1,10,4,9,East,78.04878049
Desmond Bane,1630217,Memphis Grizzlies,AWAY,34.68,8.3,18.25,0.45,3.25,8.55,0.38,3.7,4.1,0.8,1.05,3.2,4.25,5.75,2.65,0.8,0.5,1.2,3.15,3.05,23.55,-5.4,21.85,Regular Season,82,27,55,https://loodibee.com/wp-content/uploads/nba-memphis-grizzlies-logo.png,Desmond Bane,1610612763,MEM,https://cdn.nba.com/headshots/nba/latest/1040x760/1630217.png,Desmond Bane,Guard,Memphis Grizzlies,82,27,55,0.329,3956,113.7,2598,0.706,673,501,1514,1146,1236,3948,1,24,24,24,17,12,27,23,4,4,26,17,22,10,West,32.92682927
Devin Booker,1626164,Phoenix Suns,AWAY,35.18,8.64,18.14,0.47,1.92,5.86,0.35,5.44,6.17,0.83,0.92,3.69,4.61,6.72,2.78,0.97,0.39,0.39,3,4.86,24.64,3.72,24.33,Regular Season,82,49,33,https://loodibee.com/wp-content/uploads/nba-phoenix-suns-logo.png,Devin Booker,1610612756,PHX,https://cdn.nba.com/headshots/nba/latest/1040x760/1626164.png,Devin Booker,Guard,Phoenix Suns,82,49,33,0.598,3956,113.7,2783,0.714,610,492,1491,1150,1179,4074,1,8,8,8,17,13,7,20,18,6,25,19,16,14,West,59.75609756
Devin Vassell,1630170,San Antonio Spurs,AWAY,33.9,7.36,15.36,0.47,2.56,6.64,0.38,2,2.69,0.59,0.38,3.36,3.74,4.41,1.51,1.08,0.28,0.49,1.08,2.08,19.28,-2.13,18.59,Regular Season,82,22,60,https://loodibee.com/wp-content/uploads/san-antonio-spurs-2002-2017.png,Devin Vassell,1610612759,SAS,https://cdn.nba.com/headshots/nba/latest/1040x760/1630170.png,Devin Vassell,Guard-Forward,San Antonio Spurs,82,22,60,0.268,3966,115.6,2778,0.721,584,520,1526,1167,1187,4490,1,26,26,26,7,21,8,13,22,3,27,23,17,28,West,26.82926829
Devonte' Graham,1628984,San Antonio Spurs,AWAY,9.96,1.17,3.58,0.27,0.67,2.58,0.22,0.25,0.42,0.17,0.17,1.67,1.83,1.08,0.33,0.17,0,0.25,0.25,0.33,3.25,2.75,3.42,Regular Season,82,22,60,https://loodibee.com/wp-content/uploads/san-antonio-spurs-2002-2017.png,Devonte' Graham,1610612759,SAS,https://cdn.nba.com/headshots/nba/latest/1040x760/1628984.png,Devonte' Graham,Guard,San Antonio Spurs,82,22,60,0.268,3966,115.6,2778,0.721,584,520,1526,1167,1187,4490,1,26,26,26,7,21,8,13,22,3,27,23,17,28,West,26.82926829
Dillon Brooks,1628415,Houston Rockets,AWAY,31.3,4.57,11.2,0.41,1.77,5.5,0.31,1.7,2.1,0.5,0.9,2.8,3.7,1.47,1,0.9,0.2,0.43,3.4,1.6,12.6,-3.07,10.83,Regular Season,82,41,41,https://loodibee.com/wp-content/uploads/nba-houston-rockets-logo.png,Dillon Brooks,1610612745,HOU,https://cdn.nba.com/headshots/nba/latest/1040x760/1628415.png,Dillon Brooks,Guard-Forward,Houston Rockets,82,41,41,0.5,3971,112.8,2787,0.722,639,375,1221,1130,958,3992,1,19,19,19,3,10,6,12,8,24,4,14,1,12,West,50
Domantas Sabonis,1627734,Sacramento Kings,AWAY,35.86,7.53,12.33,0.61,0.28,0.88,0.16,3.93,5.33,0.7,3.56,10,13.56,8.4,3.37,0.67,0.67,0.88,3,4.93,19.28,-1.3,33.02,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo.png,Domantas Sabonis,1610612758,SAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1627734.png,Domantas Sabonis,Forward-Center,Sacramento Kings,82,46,36,0.561,3971,114.4,2719,0.744,625,342,1349,891,962,4006,1,16,16,16,3,14,15,1,13,28,17,1,2,13,West,56.09756098
